,open,high,low,close,volume,date_parsed,cont_len,cont_pol,cont_sent,date_year,date_month,date_day,sent_neg,sent_neu,sent_pos,target_variable
134,1433.21,1435.46,1422.06,1433.82,537693504.0,2012-10-22,1244.0,0.05,Positive,2012,10,22,0,0,1,1
135,1433.74,1433.74,1407.56,1413.11,608605312.0,2012-10-23,316.6666666666667,0.05,Positive,2012,10,23,0,0,1,0
136,1413.2,1420.04,1407.1,1408.75,561183104.0,2012-10-24,475.77777777777777,0.02,Positive,2012,10,24,0,0,1,0
137,1409.74,1421.12,1405.14,1412.97,577411712.0,2012-10-25,52.90909090909091,-0.030000000000000013,Negative,2012,10,25,1,0,0,1
138,1412.97,1417.09,1403.28,1411.94,624422784.0,2012-10-26,121.7,0.08,Positive,2012,10,26,0,0,1,0
139,1410.99,1418.76,1405.95,1412.16,669957888.0,2012-10-31,193.0,0.0,Neutral,2012,10,31,0,1,0,1
140,1412.2,1428.35,1412.2,1427.59,616103488.0,2012-11-01,43.0,-0.030000000000000013,Negative,2012,11,1,1,0,0,1
141,1427.59,1434.27,1412.91,1414.2,629411968.0,2012-11-02,34.0,0.13,Positive,2012,11,2,0,0,1,0
142,1414.02,1419.9,1408.13,1417.26,485471488.0,2012-11-05,81.0,0.0,Neutral,2012,11,5,0,1,0,1
143,1417.26,1433.38,1417.26,1428.39,564275776.0,2012-11-06,78.66666666666667,0.13,Positive,2012,11,6,0,0,1,1
144,1428.27,1428.27,1388.14,1394.53,712068608.0,2012-11-07,10.0,-0.030000000000000013,Negative,2012,11,7,1,0,0,0
145,1394.53,1401.23,1377.51,1377.51,628285504.0,2012-11-08,1030.571428571429,0.05,Positive,2012,11,8,0,0,1,0
146,1377.55,1391.39,1373.03,1379.85,595169024.0,2012-11-09,147.625,0.13,Positive,2012,11,9,0,0,1,1
147,1379.86,1384.87,1377.19,1380.03,300848512.0,2012-11-12,42.0,0.13,Positive,2012,11,12,0,0,1,1
148,1380.03,1388.81,1371.39,1374.53,575005888.0,2012-11-13,218.75,0.08,Positive,2012,11,13,0,0,1,0
149,1374.64,1380.13,1352.5,1355.49,688834496.0,2012-11-14,56.36363636363637,0.01,Positive,2012,11,14,0,0,1,0
150,1355.41,1360.62,1348.05,1353.33,631895680.0,2012-11-15,350.42857142857144,0.05,Positive,2012,11,15,0,0,1,0
151,1353.36,1362.03,1343.35,1359.88,820550304.0,2012-11-16,193.46153846153845,0.13,Positive,2012,11,16,0,0,1,1
152,1359.88,1386.89,1359.88,1386.89,589446592.0,2012-11-19,52.0,0.0,Neutral,2012,11,19,0,1,0,1
153,1386.82,1389.77,1377.04,1387.81,529088608.0,2012-11-20,175.5,-0.030000000000000013,Negative,2012,11,20,1,0,0,1
154,1387.79,1391.25,1386.39,1391.03,408807200.0,2012-11-21,67.0,0.13,Positive,2012,11,21,0,0,1,1
155,1409.15,1409.15,1397.68,1406.29,532653792.0,2012-11-26,228.375,0.13,Positive,2012,11,26,0,0,1,1
156,1406.29,1409.01,1398.03,1398.94,550774528.0,2012-11-27,150.71428571428572,0.13,Positive,2012,11,27,0,0,1,0
157,1398.77,1410.31,1385.43,1409.93,577114176.0,2012-11-28,205.0,0.06,Positive,2012,11,28,0,0,1,1
158,1409.96,1419.7,1409.04,1415.95,531923104.0,2012-11-29,230.5555555555556,0.07,Positive,2012,11,29,0,0,1,1
159,1415.95,1418.86,1411.63,1416.18,820550304.0,2012-11-30,371.6666666666667,0.1,Positive,2012,11,30,0,0,1,1
160,1407.05,1415.56,1398.23,1409.28,628384384.0,2012-12-05,145.75,0.13,Positive,2012,12,5,0,0,1,0
161,1409.43,1413.95,1405.93,1413.94,523124000.0,2012-12-06,174.4,-0.030000000000000013,Negative,2012,12,6,1,0,0,1
162,1413.95,1420.34,1410.9,1418.07,487081600.0,2012-12-07,479.9166666666667,0.04,Positive,2012,12,7,0,0,1,1
163,1418.07,1421.64,1415.64,1418.55,488123584.0,2012-12-10,129.45454545454547,0.1,Positive,2012,12,10,0,0,1,1
164,1418.55,1434.27,1418.55,1427.84,590599296.0,2012-12-11,200.3333333333333,-0.02,Negative,2012,12,11,1,0,0,1
165,1427.84,1438.59,1426.76,1428.48,569768192.0,2012-12-12,525.2,0.1,Positive,2012,12,12,0,0,1,1
166,1428.48,1431.36,1416.0,1419.45,522071712.0,2012-12-13,271.0,-0.030000000000000013,Negative,2012,12,13,1,0,0,0
167,1419.45,1419.45,1411.88,1413.58,533732512.0,2012-12-14,321.5,0.01,Positive,2012,12,14,0,0,1,0
168,1430.47,1448.0,1430.47,1446.79,655620224.0,2012-12-18,159.5,0.09,Positive,2012,12,18,0,0,1,1
169,1446.79,1447.75,1435.8,1435.81,576889024.0,2012-12-19,544.7142857142857,0.07,Positive,2012,12,19,0,0,1,0
170,1435.81,1443.7,1432.82,1443.69,532168288.0,2012-12-20,243.1428571428572,0.08,Positive,2012,12,20,0,0,1,1
171,1443.67,1443.67,1422.58,1430.15,820550304.0,2012-12-21,502.8,-0.02,Negative,2012,12,21,1,0,0,0
172,1426.66,1429.42,1416.43,1419.83,363632096.0,2012-12-26,137.0,0.05,Positive,2012,12,26,0,0,1,0
173,1419.83,1422.8,1401.8,1418.1,445660096.0,2012-12-27,74.8,0.09,Positive,2012,12,27,0,0,1,0
174,1418.1,1418.1,1401.58,1402.43,411216000.0,2012-12-28,133.2,-0.030000000000000013,Negative,2012,12,28,1,0,0,0
175,1402.43,1426.74,1398.11,1426.19,601105600.0,2012-12-31,150.76923076923077,0.04,Positive,2012,12,31,0,0,1,1
176,1459.37,1467.94,1458.99,1466.47,499318208.0,2013-01-04,65.0,0.0,Neutral,2013,1,4,0,1,0,1
177,1466.47,1466.47,1456.62,1461.89,490281888.0,2013-01-07,115.0,0.13,Positive,2013,1,7,0,0,1,0
178,1461.89,1461.89,1451.64,1457.15,546030208.0,2013-01-08,64.0,-0.030000000000000013,Negative,2013,1,8,1,0,0,0
179,1457.15,1464.73,1457.15,1461.02,507352384.0,2013-01-09,40.5,0.01,Positive,2013,1,9,0,0,1,1
180,1461.02,1472.3,1461.02,1472.12,569101568.0,2013-01-10,31.0,0.13,Positive,2013,1,10,0,0,1,1
181,1470.67,1473.31,1463.76,1472.34,483929792.0,2013-01-15,851.0,0.0,Neutral,2013,1,15,0,1,0,1
182,1472.33,1473.96,1467.6,1472.63,513146688.0,2013-01-16,107.70588235294116,0.08,Positive,2013,1,16,0,0,1,1
183,1472.63,1485.16,1472.63,1480.94,604124224.0,2013-01-17,106.91304347826087,0.05,Positive,2013,1,17,0,0,1,1
184,1480.95,1485.98,1475.81,1485.98,820550304.0,2013-01-18,160.25,0.12,Positive,2013,1,18,0,0,1,1
185,1485.98,1492.56,1481.16,1492.56,569950400.0,2013-01-22,243.63636363636363,0.11,Positive,2013,1,22,0,0,1,1
186,1492.56,1496.13,1489.9,1494.81,494336384.0,2013-01-23,262.3,0.12,Positive,2013,1,23,0,0,1,1
187,1494.81,1502.27,1489.46,1494.82,554969600.0,2013-01-24,322.2142857142857,0.09,Positive,2013,1,24,0,0,1,1
188,1494.82,1503.26,1494.82,1502.96,570690816.0,2013-01-25,80.0,0.13,Positive,2013,1,25,0,0,1,1
189,1502.96,1503.23,1496.33,1500.18,535161312.0,2013-01-28,151.5,0.13,Positive,2013,1,28,0,0,1,0
190,1500.18,1509.35,1498.09,1507.84,607226816.0,2013-01-29,211.3333333333333,0.02,Positive,2013,1,29,0,0,1,1
191,1507.84,1509.94,1500.11,1501.96,569791872.0,2013-01-30,134.83870967741936,0.04,Positive,2013,1,30,0,0,1,0
192,1501.96,1504.19,1496.76,1498.11,740722880.0,2013-01-31,139.8235294117647,0.11,Positive,2013,1,31,0,0,1,0
193,1498.11,1514.41,1498.11,1513.17,598682816.0,2013-02-01,168.55555555555554,0.13,Positive,2013,2,1,0,0,1,1
194,1513.17,1513.17,1495.02,1495.71,584697216.0,2013-02-04,112.6,-0.030000000000000013,Negative,2013,2,4,1,0,0,0
195,1495.71,1514.96,1495.71,1511.29,587275072.0,2013-02-05,137.0,0.13,Positive,2013,2,5,0,0,1,1
196,1511.29,1512.53,1504.71,1512.12,556294272.0,2013-02-06,109.0,0.0,Neutral,2013,2,6,0,1,0,1
197,1517.93,1518.31,1513.61,1517.01,400159904.0,2013-02-11,148.125,0.05,Positive,2013,2,11,0,0,1,1
198,1517.01,1522.29,1515.61,1519.43,489501408.0,2013-02-12,100.8,-0.030000000000000013,Negative,2013,2,12,1,0,0,1
199,1519.43,1524.69,1515.93,1520.33,513566784.0,2013-02-13,165.66666666666666,-0.030000000000000013,Negative,2013,2,13,1,0,0,1
200,1520.33,1523.14,1514.02,1521.38,533981184.0,2013-02-14,39.0,0.05,Positive,2013,2,14,0,0,1,1
201,1521.38,1524.24,1514.14,1519.79,811687616.0,2013-02-15,166.71428571428572,-0.03,Negative,2013,2,15,1,0,0,0
202,1519.79,1530.94,1519.79,1530.94,571763072.0,2013-02-19,109.5,-0.030000000000000013,Negative,2013,2,19,1,0,0,1
203,1530.94,1530.94,1511.41,1511.95,594170816.0,2013-02-20,65.6,0.07,Positive,2013,2,20,0,0,1,0
204,1511.95,1511.95,1497.29,1502.42,599309824.0,2013-02-21,323.5,0.13,Positive,2013,2,21,0,0,1,0
205,1502.42,1515.64,1502.42,1515.6,515547200.0,2013-02-22,118.71428571428572,-0.0,Negative,2013,2,22,1,0,0,1
206,1515.6,1525.84,1487.85,1487.85,637253824.0,2013-02-25,594.3333333333334,0.12,Positive,2013,2,25,0,0,1,0
207,1487.85,1498.99,1485.01,1496.94,579446720.0,2013-02-26,187.25,0.1,Positive,2013,2,26,0,0,1,1
208,1515.99,1525.34,1514.46,1514.68,748922880.0,2013-02-28,191.15384615384616,0.01,Positive,2013,2,28,0,0,1,1
209,1514.68,1519.99,1501.48,1518.2,548455808.0,2013-03-01,137.25,0.13,Positive,2013,3,1,0,0,1,1
210,1518.2,1525.27,1512.29,1525.2,513849664.0,2013-03-04,100.0,0.03,Positive,2013,3,4,0,0,1,1
211,1525.2,1543.47,1525.2,1539.79,522751872.0,2013-03-05,143.83333333333334,0.07,Positive,2013,3,5,0,0,1,1
