,open,high,low,close,volume,date_parsed,cont_len,cont_pol,cont_sent
58,1373.72,1373.85,1363.02,1367.58,499612000,2012-07-05,149.375,0.11259920634920634,Positive
59,1367.09,1367.09,1348.03,1354.68,483174496,2012-07-06,101.72727272727273,0.01795725108225107,Positive
60,1354.66,1354.87,1346.65,1352.46,496238912,2012-07-09,125.26470588235294,0.07167483660130718,Positive
61,1352.96,1361.54,1336.27,1341.47,568883904,2012-07-10,163.40740740740742,0.06394099727433061,Positive
62,1341.4,1345.0,1333.25,1341.45,606265408,2012-07-11,207.05555555555554,0.09142917267917267,Positive
63,1341.29,1341.29,1325.41,1334.76,611763776,2012-07-12,191.52272727272728,0.1115123624346433,Positive
64,1334.81,1357.7,1334.81,1356.78,530837184,2012-07-13,199.57142857142858,0.015638038548752817,Positive
65,1356.5,1357.26,1348.51,1353.64,471627008,2012-07-16,353.7931034482759,0.07713371287647763,Positive
66,1353.68,1365.36,1345.07,1363.67,577939392,2012-07-17,176.46875,0.04834900444917186,Positive
67,1363.58,1375.26,1358.96,1372.78,589123776,2012-07-18,173.125,0.07088035166718203,Positive
68,1373.01,1380.39,1371.21,1376.51,643162880,2012-07-19,224.16666666666666,0.04669075963718819,Positive
69,1376.51,1376.51,1362.19,1362.66,863626816,2012-07-20,171.0,0.01967261904761905,Positive
70,1362.34,1362.34,1337.56,1350.52,602347072,2012-07-23,172.69230769230768,0.023983516483516463,Positive
71,1350.52,1351.53,1329.24,1338.31,632833408,2012-07-24,86.95833333333333,0.016121031746031734,Positive
72,1338.35,1343.98,1331.5,1337.89,653733632,2012-07-25,187.39285714285714,0.015922919672919665,Positive
73,1338.17,1363.13,1338.17,1360.02,714241984,2012-07-26,111.36111111111111,0.019854083994708994,Positive
74,1360.05,1389.19,1360.05,1385.97,751211776,2012-07-27,151.2173913043478,0.03428140096618356,Positive
75,1385.94,1391.74,1381.37,1385.3,492528704,2012-07-30,121.22727272727273,0.004175849403122131,Positive
76,1385.27,1387.16,1379.17,1379.32,679418368,2012-07-31,192.10256410256412,0.09643694268694271,Positive
77,1379.32,1385.03,1373.35,1375.14,703061120,2012-08-01,260.4642857142857,0.03340665570257406,Positive
78,1375.13,1375.13,1354.65,1365.0,625895104,2012-08-02,212.1,0.11060215247715248,Positive
79,1365.45,1394.16,1365.45,1390.99,558787072,2012-08-03,110.125,0.08172916666666669,Positive
80,1391.04,1399.63,1391.04,1394.23,486460096,2012-08-06,163.0952380952381,0.08879002672497571,Positive
81,1394.46,1407.14,1394.46,1401.35,533384384,2012-08-07,201.3181818181818,0.06270968614718614,Positive
82,1401.23,1404.14,1396.13,1402.22,472937792,2012-08-08,406.8181818181818,0.06279727676349563,Positive
83,1402.26,1405.95,1398.8,1402.8,456085696,2012-08-09,196.0,0.06318106871595246,Positive
84,1402.58,1405.98,1395.62,1405.87,490295616,2012-08-10,174.4516129032258,-0.029618593771819576,Negative
85,1405.87,1405.87,1397.32,1404.11,396726784,2012-08-13,140.66666666666666,-0.024999999999999998,Negative
