,date,open,high,low,close,volume
972,2015-11-12,2072.29,2072.29,2045.66,2045.97,583695424
973,2015-11-13,2044.64,2044.64,2022.02,2023.04,661114496
974,2015-11-16,2022.08,2053.22,2019.39,2053.19,615213568
975,2015-11-17,2053.67,2066.69,2045.9,2050.44,684883712
976,2015-11-18,2051.99,2085.31,2051.99,2083.58,618006848
977,2015-11-19,2083.7,2086.74,2078.76,2081.24,557110912
978,2015-11-20,2082.82,2097.06,2082.82,2089.17,701089728
979,2015-11-23,2089.41,2095.61,2081.39,2086.59,580602624
980,2015-11-24,2084.42,2094.12,2070.29,2089.14,615626560
981,2015-11-25,2089.3,2093.0,2086.3,2088.87,449950496
982,2015-11-27,2088.82,2093.29,2084.13,2090.11,243529344
983,2015-11-30,2090.95,2093.81,2080.41,2080.41,830705216
984,2015-12-01,2082.93,2103.37,2082.93,2102.63,599103616
985,2015-12-02,2101.71,2104.27,2077.11,2079.51,661109504
986,2015-12-03,2080.71,2085.0,2042.35,2049.62,761989440
987,2015-12-04,2051.24,2093.84,2051.24,2091.69,751361856
988,2015-12-07,2090.42,2090.42,2066.78,2077.07,648025216
989,2015-12-08,2073.39,2073.85,2052.32,2063.59,677047680
990,2015-12-09,2061.17,2080.33,2036.53,2047.62,754895424
991,2015-12-10,2047.93,2067.65,2045.67,2052.23,610605888
992,2015-12-11,2047.27,2047.27,2008.8,2012.37,729383744
993,2015-12-14,2013.37,2022.92,1993.26,2021.94,785086720
994,2015-12-15,2025.55,2053.87,2025.55,2043.41,702379904
995,2015-12-16,2046.5,2076.72,2042.43,2073.07,690050304
996,2015-12-17,2073.76,2076.37,2041.66,2041.89,655534848
997,2015-12-18,2040.81,2040.81,2005.33,2005.55,1822321920
998,2015-12-21,2010.27,2022.9,2005.93,2021.15,615865536
999,2015-12-22,2023.15,2042.74,2020.49,2038.97,559953152
1000,2015-12-23,2042.2,2064.73,2042.2,2064.29,553948480
1001,2015-12-24,2063.52,2067.36,2058.73,2060.99,252714208
1002,2015-12-28,2057.77,2057.77,2044.2,2056.5,374236032
1003,2015-12-29,2060.54,2081.56,2060.54,2078.36,389239744
1004,2015-12-30,2077.34,2077.34,2061.97,2063.36,339059456
1005,2015-12-31,2060.59,2062.54,2043.62,2043.94,487696736
1006,2016-01-04,2038.2,2038.2,1989.68,2012.66,817659264
1007,2016-01-05,2013.78,2021.94,2004.17,2016.71,629042368
1008,2016-01-06,2011.71,2011.71,1979.05,1990.26,745563264
1009,2016-01-07,1985.32,1985.32,1938.83,1943.09,876560192
1010,2016-01-08,1945.97,1960.4,1918.46,1922.03,819684992
1011,2016-01-11,1926.12,1935.65,1901.1,1923.67,788334720
1012,2016-01-12,1927.83,1947.38,1914.35,1938.68,768301056
1013,2016-01-13,1940.34,1950.33,1886.41,1890.28,886396800
1014,2016-01-14,1891.68,1934.47,1878.93,1921.84,931479040
1015,2016-01-15,1916.68,1916.68,1857.83,1880.33,1206742784
1016,2016-01-19,1888.66,1901.44,1864.6,1881.33,891805760
1017,2016-01-20,1876.18,1876.18,1812.29,1859.33,1092011008
1018,2016-01-21,1861.46,1889.85,1848.98,1868.99,865664320
1019,2016-01-22,1877.4,1908.85,1877.4,1906.9,821294080
1020,2016-01-25,1906.28,1906.28,1875.97,1877.08,773700224
1021,2016-01-26,1878.79,1906.73,1878.79,1903.63,707140736
1022,2016-01-27,1902.52,1916.99,1872.7,1882.95,813037568
1023,2016-01-28,1885.22,1902.96,1873.65,1893.36,833137472
1024,2016-01-29,1894.0,1940.24,1894.0,1940.24,1230857984
1025,2016-02-01,1936.94,1947.2,1920.3,1939.38,724321536
1026,2016-02-02,1935.26,1935.26,1897.29,1903.03,816298560
1027,2016-02-03,1907.07,1918.01,1872.23,1912.53,936651584
1028,2016-02-04,1911.67,1927.35,1900.52,1915.45,886268416
1029,2016-02-05,1913.07,1913.07,1872.65,1880.05,878323648
1030,2016-02-08,1873.25,1873.25,1828.46,1853.44,1030158592
1031,2016-02-09,1848.46,1868.25,1834.94,1852.21,857851712
1032,2016-02-10,1857.1,1881.6,1850.32,1851.86,772848128
1033,2016-02-11,1847.0,1847.0,1810.1,1829.08,967843712
1034,2016-02-12,1833.4,1864.78,1833.4,1864.78,810026560
1035,2016-02-16,1871.44,1895.77,1871.44,1895.58,854329536
1036,2016-02-17,1898.8,1930.68,1898.8,1926.82,827137664
1037,2016-02-18,1927.57,1930.0,1915.09,1917.83,742292224
1038,2016-02-19,1916.74,1918.78,1902.17,1917.78,879010688
1039,2016-02-22,1924.44,1946.7,1924.44,1945.5,680678400
1040,2016-02-23,1942.38,1942.38,1919.44,1921.27,640289664
1041,2016-02-24,1917.56,1932.08,1891.0,1929.8,671767104
1042,2016-02-25,1931.87,1951.83,1925.41,1951.7,605223616
1043,2016-02-26,1954.95,1962.96,1945.78,1948.05,683476544
1044,2016-02-29,1947.13,1958.27,1931.81,1932.23,865264000
1045,2016-03-01,1937.09,1978.35,1937.09,1978.35,754116160
1046,2016-03-02,1976.6,1986.51,1968.8,1986.45,688728960
1047,2016-03-03,1985.6,1993.69,1977.37,1993.4,676537152
1048,2016-03-04,1994.01,2009.13,1986.77,1999.99,798710592
1049,2016-03-07,1996.11,2006.12,1989.38,2001.76,671945728
1050,2016-03-08,1996.88,1996.88,1977.43,1979.26,716139584
1051,2016-03-09,1981.44,1992.69,1979.84,1989.26,617763136
1052,2016-03-10,1990.97,2005.08,1969.25,1989.57,679497152
1053,2016-03-11,1994.71,2022.37,1994.71,2022.19,651166528
1054,2016-03-14,2019.27,2024.57,2012.05,2019.64,552448576
1055,2016-03-15,2015.27,2015.94,2005.23,2015.93,537918144
1056,2016-03-16,2014.24,2032.02,2010.04,2027.22,625199104
1057,2016-03-17,2026.9,2046.24,2022.16,2040.59,668462080
1058,2016-03-18,2041.16,2052.36,2041.16,2049.58,1755882112
1059,2016-03-21,2047.88,2053.91,2043.14,2051.6,546117120
1060,2016-03-22,2048.64,2056.6,2040.57,2049.8,564581888
1061,2016-03-23,2048.55,2048.55,2034.86,2036.71,551169600
1062,2016-03-24,2032.48,2036.04,2022.49,2035.94,610855616
1063,2016-03-28,2037.89,2042.67,2031.96,2037.05,470922944
1064,2016-03-29,2035.75,2055.91,2028.31,2055.01,590708224
1065,2016-03-30,2058.27,2072.21,2058.27,2063.95,527219872
1066,2016-03-31,2063.77,2067.92,2057.46,2059.74,651556864
1067,2016-04-01,2056.62,2075.07,2043.98,2072.78,666015104
1068,2016-04-04,2073.19,2074.02,2062.57,2066.13,546680384
1069,2016-04-05,2062.5,2062.5,2042.56,2045.17,676197056
1070,2016-04-06,2045.56,2067.33,2043.09,2066.66,595344896
1071,2016-04-07,2063.01,2063.01,2033.8,2041.91,648415872
1072,2016-04-08,2045.54,2060.63,2041.69,2047.6,551728320
1073,2016-04-11,2050.23,2062.93,2041.88,2041.99,597863168
1074,2016-04-12,2043.72,2065.05,2039.74,2061.72,599364032
1075,2016-04-13,2065.92,2083.18,2065.92,2082.42,643524672
1076,2016-04-14,2082.89,2087.84,2078.13,2082.78,573460480
